0,0.4
1,0.8
1,1.0
1,1.0
1,0.8
1,0.9
1,0.85
1,0.9
1,0.9
1,1.0
0,0.4
0,0.2
0,0.0
0,0.1
0,0.1
1,1.0
1,1.0
0,0.2
1,0.9
1,0.9
1,1.0
0,0.0
1,0.8
1,0.9
1,0.9
0,0.0
1,0.3
0,0.0
0,0.2
1,1.0
1,0.9
1,1.0
1,0.8
1,0.8
0,0.65
1,1.0
1,0.3
0,0.0
1,0.9
0,0.1
0,0.2
1,0.9
1,0.9
0,0.1
0,0.5
1,0.1
0,0.5
1,0.6
0,0.0
1,0.7
1,1.0
1,1.0
0,0.5
1,0.8
0,0.3
1,0.2
1,0.9
0,0.0
1,0.9
1,0.7
0,0.2
1,1.0
0,0.2
0,0.1
1,1.0
1,0.9
0,0.0
0,0.2
0,0.1
0,0.4
0,0.2
1,0.5
1,0.9
0,0.1
0,0.0
1,1.0
0,0.8
0,0.1
0,0.0
0,0.3
0,0.1
0,0.3
1,1.0
0,0.1
1,0.6
0,0.0
0,0.3
1,0.8
1,0.7
1,0.9
1,1.0
0,0.2
1,0.5
1,1.0
0,0.3
0,0.3
1,0.9
0,0.2
1,1.0
0,0.0
1,0.9
0,0.4
0,0.4
1,1.0
1,1.0
0,0.3
1,1.0
0,0.2
0,0.0
0,0.0
1,0.6
0,0.0
0,0.3
1,0.5
1,0.9
0,0.7
0,0.0
1,1.0
1,0.8
0,0.0
0,0.5
0,0.1
1,1.0
1,0.6
0,0.3
0,0.1
1,0.6
0,0.2
0,0.1
0,0.2
0,0.3
1,0.5
1,0.4
1,0.8
0,0.7
0,0.3
1,0.6
0,0.1
0,0.5
0,0.2
0,0.0
1,0.8
0,0.6
0,0.0
1,1.0
0,0.0
0,0.2
0,0.2
1,1.0
0,0.3
0,0.1
1,1.0
1,1.0
0,0.6
1,1.0
1,0.9
1,0.7
0,0.2
1,0.2
1,1.0
0,0.2
0,0.0
0,0.4
1,0.9
1,1.0
1,0.9
0,0.5
0,0.1
0,0.1
1,0.7
0,0.0
0,0.6
0,0.0
1,0.5
0,0.3
0,0.0
1,1.0
0,0.3
0,0.1
1,0.8
0,0.0
1,1.0
1,0.9
1,1.0
0,0.2
1,0.3
1,0.9
1,0.9
1,1.0
0,0.0
0,0.2
1,1.0
1,0.7
0,0.5
0,0.0
1,1.0
0,0.0
0,0.0
0,0.3
1,1.0
1,1.0
0,0.1
1,1.0
1,0.9
1,0.7
1,0.9
0,0.5
1,0.9
0,0.2
0,0.2
1,1.0
1,0.7
1,0.8
1,0.9
0,0.7
0,0.2
0,0.0
0,0.4
1,1.0
0,0.0
1,0.8
0,0.4
1,0.7
0,0.1
0,0.0
1,1.0
0,0.1
0,0.0
1,1.0
0,0.5
0,0.3
0,0.1
0,0.2
0,0.2
1,1.0
0,0.2
1,0.9
1,0.3
1,0.8
1,1.0
0,0.1
0,0.2
0,0.1
1,1.0
0,0.1
1,1.0
0,0.1
1,0.7
0,0.0
1,0.7
0,0.0
0,0.3
0,0.0
0,0.6
0,0.2
0,0.0
0,0.1
0,0.2
1,1.0
1,0.6
1,0.7
1,0.7
1,1.0
1,1.0
0,0.1
1,0.7
0,0.5
0,0.0
1,0.6
0,0.0
0,0.5
0,0.1
0,0.1
1,1.0
0,0.1
1,1.0
0,0.1
1,1.0
